Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM722678	0.01122584344448	0	0.0101106845258635	0.0168440547296811	0	0.213912505908368	0	0	0	0	0.0351610064309644	0.0148465571598519	0.150802203528453	0.0334267833901647	0.0010326648223757	0.144373471168224	0	0.00629776233626845	0.361966462555305	0	0	0	0.732	-0.0152702813390144	1.11142336172296
GSM722679	0.126868035282656	0	0.0790083196600486	0.0562123490185618	0	0.111513037721152	0	0.00298798741851085	0	0.102181285320888	0	0	0.112977621150447	0	0.0242514136023203	0.197421906184435	0	0	0.18657804464098	0	0	0	0.853	-0.0280132987979256	1.08258200279542
GSM722680	0.0516365062993625	0	0.00289051663209554	0.0110998879321406	0	0.0663007107245235	0	0.0305516877642663	0	0.109936191073907	0.0587626085587686	0	0.152592113444159	0	0.0007530952263693	0.332637741302602	0	0.00597256606920975	0.175070455971574	0	0	0.00179591900102228	0.973	-0.0467467856160406	1.10927732856485
GSM722681	0	0	0.00155061261561713	0.0754518996004938	0	0.105939379577463	0	0.0162991647576583	0	0.0919205411286119	0.0552162216637226	0	0.249721478903083	0	0.111604559300574	0.0886782220429702	0	0	0.107458478889233	0	0	0.0961594415205737	0.743	-0.0167664782787638	1.11657694198117
GSM722682	0.117353879068877	0	0.0189143348605436	0.218322063773738	0	0.106722742232091	0	0.0400082303645566	0.0165815932145428	0	0.0717829678839642	0	0.0789265420191296	0	0.0740223977303477	0.119100650223748	0	0	0.016197508216831	0.0408147747536055	0	0.0812523156580252	0.971	-0.0456280522708231	1.10883642379314
GSM722683	0	0	0.0458934453282895	0.114793143231521	0	0.014566188346415	0	0.0881578632431423	0	0.0966122726347683	0	0.0100308266174541	0.0342943864880245	0	0.0622408572533213	0.218963419201293	0	0	0.261268882967537	0	0	0.0531787146882336	0.983	-0.0495233151546788	1.10672698134922
GSM722684	0.00561846956923167	0	0.00818305927182297	0.0879890252006041	0	0.145379803242349	0.0203238503157479	0.00183881577184194	0	0.151886320084513	0.00120654581557653	0	0.0960212931299768	0	0.0726666579713556	0.175112864436123	0	0	0.0954124674433849	0	0	0.138360827747472	0.916	-0.0343924721747406	1.11371415890117
GSM722685	0.143616328043025	0	0.011910706651624	0.127783056925375	0	0	0.00922094467270904	0.0848062016752744	0	0.0472421358974615	0.00936746500659312	0	0.209660574564792	0	0.0884891103616674	0.14885116429445	0	0.0247966002929185	0.0942557116141109	0	0	0	0.95	-0.0405597803981249	1.09389474233162
GSM722686	0	0.098245285551521	0	0.0645624248687943	0	0	0.0660213164543718	0	0	0.00486421303388646	0.0974318597811255	0	0.019416808977062	0	0.0777976229139587	0.34339457957162	0	0	0.22826588884766	0	0	0	0.971	-0.0459226953369182	1.10688680670594
GSM722687	0	0	0.143901932071203	0.0979403565139353	0	0.019680030200164	0.0259876175701651	0	0	0	0	0.0167365927667281	0.0802358694158347	0	0.0983704388673217	0.23182886270798	0	0	0.25122602975709	0	0	0.0340922701295786	0.937	-0.0380482397689308	1.10172016195821
GSM722688	0.0584179586936584	0	0.00467517323887314	0.159395450166095	0	0.0968419133822908	0	0.0672447338805143	0	0.0686914230186641	0.0294514093776996	0	0.23941360696602	0	0.0899944670900504	0.0250675618160361	0	0	0.129777367668633	0	0	0.0310289347014655	0.743	-0.016717791271689	1.10113739155554
GSM722689	0.00154995841937128	0	0.00322392583998306	0.0709794844004944	0	0.285732662328861	0	0.0453316201247439	0	0.0729095825021199	0	0.0137566294800547	0.0328388882424856	0	0.0924907775244185	0.135436907414694	0	0	0.117259067748203	0.0318813318886332	0	0.0966091640859376	0.921	-0.0346779271767204	1.10996492252701
GSM722690	0.0165680521321775	0	0.0218439759522342	0.0200941169117904	0	0.295780969556791	0	0.00701990993821165	0	0	0	0.0173325042270723	0.0756674612661251	0	0.00328398088221763	0.411159921787364	0.00813658479519364	0.0093456994808204	0.113766823070002	0	0	0	0.903	-0.0329400278163925	1.10249961978405
GSM722691	0.0624943204883127	0	0.0635803133036414	0.00794681616027357	0	0.214615713928503	0.00745184057098708	0	0	0	0	0.0161419321578231	0.184137706620561	0	0.0244767807160771	0.194413069930024	0	0.0477351941855476	0.17700631193825	0	0	0	0.921	-0.0347676309816601	1.08313297618311
